id;label;class_object;class_name;class_value
1;PROVINCE NORD;cover_forest;Forêt;0.34179117237535328483
1;PROVINCE NORD;cover_forest;Hors-forêt;0.65820882762464671517
1;PROVINCE NORD;cover_forestnum;Forêt;0.37516039759527421357
1;PROVINCE NORD;cover_forestnum;Hors-forêt;0.62483960240472578643
1;PROVINCE NORD;cover_foresttype;Forêt coeur;0.06471122192152795572
1;PROVINCE NORD;cover_foresttype;Forêt mature;0.51363967581670924861
1;PROVINCE NORD;cover_foresttype;Forêt secondaire;0.42164910226176279568
1;PROVINCE NORD;cover_forestum;Forêt;0.23286889391577181431
1;PROVINCE NORD;cover_forestum;Hors-forêt;0.76713110608422818569
1;PROVINCE NORD;elevation_max;;1622
1;PROVINCE NORD;elevation_median;;214
1;PROVINCE NORD;forest_area_ha;;321711.765827868
1;PROVINCE NORD;forest_core_elevation;100;62.493541984059197516059000982
1;PROVINCE NORD;forest_core_elevation;1000;443.86438793806263814853180084
1;PROVINCE NORD;forest_core_elevation;1100;233.9501828121185453355084432
1;PROVINCE NORD;forest_core_elevation;1200;195.492618514236714912540783310
1;PROVINCE NORD;forest_core_elevation;1300;167.450644547030619371726482188
1;PROVINCE NORD;forest_core_elevation;1400;35.252767273059055848404024404
1;PROVINCE NORD;forest_core_elevation;1500;0
1;PROVINCE NORD;forest_core_elevation;1600;0
1;PROVINCE NORD;forest_core_elevation;1700;0
1;PROVINCE NORD;forest_core_elevation;200;705.05534546118111696808048808
1;PROVINCE NORD;forest_core_elevation;300;2225.7315337399599889934746704
1;PROVINCE NORD;forest_core_elevation;400;3620.6194387944199248875745722
1;PROVINCE NORD;forest_core_elevation;500;1400.49629984789203655993747686
1;PROVINCE NORD;forest_core_elevation;600;3208.8030211045871143208264516
1;PROVINCE NORD;forest_core_elevation;700;3788.0700833414451314853180084
1;PROVINCE NORD;forest_core_elevation;800;2834.6429684564266411824362132
1;PROVINCE NORD;forest_core_elevation;900;1896.43863943933751279153072230
1;PROVINCE NORD;forest_core_ha;;20818.3614732538
1;PROVINCE NORD;forest_elevation;100;24476.9922072812764912741309476
1;PROVINCE NORD;forest_elevation;1000;4586.3398599528184364021452380
1;PROVINCE NORD;forest_elevation;1100;2966.73865853742300805625545308
1;PROVINCE NORD;forest_elevation;1200;2069.44603436895199247412940068
1;PROVINCE NORD;forest_elevation;1300;1436.62701536501175684820626696
1;PROVINCE NORD;forest_elevation;1400;713.51942420520235036944710316
1;PROVINCE NORD;forest_elevation;1500;227.718965171873508084243022284
1;PROVINCE NORD;forest_elevation;1600;56.729987814747369876136268652
1;PROVINCE NORD;forest_elevation;1700;3.9950695644188238802498441212
1;PROVINCE NORD;forest_elevation;200;42749.641381020067282700660112
1;PROVINCE NORD;forest_elevation;300;51243.958288887483351124860084
1;PROVINCE NORD;forest_elevation;400;51686.611996625177919583205736
1;PROVINCE NORD;forest_elevation;500;49624.357087471988192131563660
1;PROVINCE NORD;forest_elevation;600;42073.675610720379208994541312
1;PROVINCE NORD;forest_elevation;700;25124.9924906300219561319924396
1;PROVINCE NORD;forest_elevation;800;14513.2887136207183453345094028
1;PROVINCE NORD;forest_elevation;900;8157.1330366303733802270207576
1;PROVINCE NORD;forest_fragmentation;10;0.03965413221552470383
1;PROVINCE NORD;forest_fragmentation;100;0.13878312787278136842
1;PROVINCE NORD;forest_fragmentation;1000;0.20894766952724284337
1;PROVINCE NORD;forest_fragmentation;10000;0.28476285977398383551
1;PROVINCE NORD;forest_fragmentation;125;0.14651421029429891615
1;PROVINCE NORD;forest_fragmentation;150;0.15328275430534662840
1;PROVINCE NORD;forest_fragmentation;1500;0.23255714035036202463
1;PROVINCE NORD;forest_fragmentation;175;0.15888457731272570262
1;PROVINCE NORD;forest_fragmentation;20;0.06428747721335449083
1;PROVINCE NORD;forest_fragmentation;200;0.16468297556080497830
1;PROVINCE NORD;forest_fragmentation;2000;0.24466706752288578611
1;PROVINCE NORD;forest_fragmentation;20000;0.31591346166169071971
1;PROVINCE NORD;forest_fragmentation;225;0.16788619404803300341
1;PROVINCE NORD;forest_fragmentation;250;0.17158705396317373973
1;PROVINCE NORD;forest_fragmentation;275;0.17487436223486235104
1;PROVINCE NORD;forest_fragmentation;30;0.08380529438545083531
1;PROVINCE NORD;forest_fragmentation;300;0.17671195655738709447
1;PROVINCE NORD;forest_fragmentation;30000;0.40570634614399538242
1;PROVINCE NORD;forest_fragmentation;325;0.18257768046738073389
1;PROVINCE NORD;forest_fragmentation;350;0.18257768046738073389
1;PROVINCE NORD;forest_fragmentation;375;0.18480920104064076225
1;PROVINCE NORD;forest_fragmentation;40;0.09570427132415625617
1;PROVINCE NORD;forest_fragmentation;400;0.18480920104064076225
1;PROVINCE NORD;forest_fragmentation;425;0.18731887914404403010
1;PROVINCE NORD;forest_fragmentation;450;0.18731887914404403010
1;PROVINCE NORD;forest_fragmentation;475;0.18731887914404403010
1;PROVINCE NORD;forest_fragmentation;50;0.10548185525314390493
1;PROVINCE NORD;forest_fragmentation;500;0.18731887914404403010
1;PROVINCE NORD;forest_fragmentation;5000;0.26356510573517969741
1;PROVINCE NORD;forest_fragmentation;60;0.11186608858476234146
1;PROVINCE NORD;forest_fragmentation;600;0.19429092917823492418
1;PROVINCE NORD;forest_fragmentation;70;0.11886206032437391229
1;PROVINCE NORD;forest_fragmentation;700;0.20423926628487847530
1;PROVINCE NORD;forest_fragmentation;80;0.12657225665266105214
1;PROVINCE NORD;forest_fragmentation;800;0.20894766952724284337
1;PROVINCE NORD;forest_fragmentation;90;0.13402166426745740196
